filename	description	artistic_tags	width	height	aspect_ratio	file_size_kb	dominant_hue	dominant_saturation	creation_date	processing_order
1.jpg	A black and white photo of people walking down a street	outdoor, urban, natural	512	512	1.0	31.0	0	0	2025-05-25 19:50:03	1
10.jpg	A black and white photo of a woman leaning against a wall	neutral	512	512	1.0	20.0	0	0	2025-05-25 19:50:06	2
100.jpg	A man with no shirt smoking a cigarette	neutral	512	512	1.0	29.9	21	58	2025-05-25 19:50:34	3
101.jpg	A shirtless man sitting at a desk in front of a computer	neutral	512	512	1.0	40.2	23	24	2025-05-25 19:50:34	4
102.jpg	A shirtless man sitting at a table in front of a bookcase	neutral	512	512	1.0	40.8	25	21	2025-05-25 19:50:35	5
103.jpg	A man sitting at a desk writing in a notebook	neutral	512	512	1.0	31.4	22	26	2025-05-25 19:50:35	6
104.jpg	A white horse standing on the side of a road	neutral	512	512	1.0	43.5	30	15	2025-05-25 19:50:36	7
106.jpg	A woman standing on top of a building	urban	512	512	1.0	24.1	280	1	2025-05-25 19:50:36	8
107.jpg	A shirtless man sitting in a chair	neutral	512	512	1.0	39.9	21	29	2025-05-25 19:50:37	9
108.jpg	A man smoking a cigarette in front of a woman	neutral	512	512	1.0	27.7	24	21	2025-05-25 19:50:37	10
109.jpg	A man sitting in front of a woman	neutral	512	512	1.0	27.6	29	13	2025-05-25 19:50:38	11
11.jpg	A black and white photo of a woman	neutral	512	512	1.0	38.8	0	0	2025-05-25 19:50:06	12
110.jpg	A man and a woman sitting in a room	indoor	512	512	1.0	26.5	19	24	2025-05-25 19:50:38	13
111.jpg	A man smokes a cigarette while a woman watches	neutral	512	512	1.0	28.4	20	20	2025-05-25 19:50:39	14
112.jpg	A woman with blonde hair	neutral	512	512	1.0	29.6	205	77	2025-05-25 19:50:39	15
113.jpg	A man smoking a cigarette in front of a window	neutral	512	512	1.0	25.4	9	30	2025-05-25 19:50:40	16
114.jpg	The building is old	urban	512	512	1.0	41.2	37	37	2025-05-25 19:50:40	17
115.jpg	A table with a bowl of food and papers on it	neutral	512	512	1.0	44.4	22	13	2025-05-25 19:50:40	18
116.jpg	A palette with paint and brushes on a table	neutral	512	512	1.0	68.5	269	3	2025-05-25 19:50:41	19
117.jpg	A man sitting on the floor	neutral	512	512	1.0	45.3	221	32	2025-05-25 19:50:41	20
118.jpg	A man sitting on the floor	neutral	512	512	1.0	43.4	240	6	2025-05-25 19:50:41	21
119.jpg	A man sitting on the floor working on a laptop	neutral	512	512	1.0	40.2	12	9	2025-05-25 19:50:42	22
12.jpg	A black and white photo of a woman	neutral	512	512	1.0	41.8	0	0	2025-05-25 19:50:06	23
120.jpg	A man sitting in front of a computer	neutral	512	512	1.0	37.8	10	11	2025-05-25 19:50:42	24
121.jpg	The boy is sitting on the floor	neutral	512	512	1.0	52.4	216	49	2025-05-25 19:50:43	25
122.jpg	A paint palette with a red tag on it	neutral	512	512	1.0	64.4	217	55	2025-05-25 19:50:43	26
123.jpg	A man in a blue jacket	neutral	512	512	1.0	45.3	220	48	2025-05-25 19:50:43	27
124.jpg	A man wearing a blue jacket	neutral	512	512	1.0	39.2	221	35	2025-05-25 19:50:44	28
125.jpg	A man wearing a blue jacket	neutral	512	512	1.0	39.5	222	35	2025-05-25 19:50:44	29
126.jpg	A man sitting on the floor using a cell phone	neutral	512	512	1.0	42.3	218	41	2025-05-25 19:50:45	30
127.jpg	A bar with a bunch of flowers in a vase	natural	512	512	1.0	50.9	13	47	2025-05-25 19:50:45	31
128.jpg	A lamp and a book on a table	neutral	512	512	1.0	31.8	18	65	2025-05-25 19:50:45	32
129.jpg	A lamp sitting on top of a table next to a book	neutral	512	512	1.0	21.9	280	21	2025-05-25 19:50:46	33
13.jpg	A black and white photo of a person in the dark	neutral	512	512	1.0	50.8	0	0	2025-05-25 19:50:07	34
130.jpg	A vase of flowers sitting on a bar counter	natural	512	512	1.0	45.5	16	61	2025-05-25 19:50:46	35
131.jpg	Two people sitting at a table in a restaurant	neutral	512	512	1.0	25.7	34	58	2025-05-25 19:50:47	36
132.jpg	A dog sitting on a chair in a restaurant	neutral	512	512	1.0	29.7	20	83	2025-05-25 19:50:47	37
133.jpg	A man standing in a restaurant	neutral	512	512	1.0	34.1	0	33	2025-05-25 19:50:48	38
134.jpg	A man sitting at a table in front of a window	neutral	512	512	1.0	36.8	6	50	2025-05-25 19:50:48	39
135.jpg	A woman sitting at a table in front of a window	neutral	512	512	1.0	17.9	270	0	2025-05-25 19:50:48	40
136.jpg	A person sitting at a table in front of a window	neutral	512	512	1.0	16.8	0	37	2025-05-25 19:50:49	41
137.jpg	A woman sitting at a table in a bar	neutral	512	512	1.0	49.8	28	36	2025-05-25 19:50:49	42
138.jpg	A woman sitting at a table in a restaurant	neutral	512	512	1.0	45.7	25	53	2025-05-25 19:50:50	43
139.jpg	A man sitting in a chair	neutral	512	512	1.0	51.4	26	52	2025-05-25 19:50:50	44
14.jpg	A black and white photo of a person in the dark	neutral	512	512	1.0	52.3	0	0	2025-05-25 19:50:07	45
140.jpg	A man sitting on a couch	neutral	512	512	1.0	50.6	30	41	2025-05-25 19:50:51	46
141.jpg	A woman taking a picture with a camera	neutral	512	512	1.0	39.0	28	48	2025-05-25 19:50:51	47
142.jpg	A person taking a picture with a camera	neutral	512	512	1.0	30.3	34	57	2025-05-25 19:50:52	48
143.jpg	A man sitting at a bar	neutral	512	512	1.0	41.6	29	59	2025-05-25 19:50:52	49
144.jpg	A glass of beer sitting on a bar	neutral	512	512	1.0	41.1	20	46	2025-05-25 19:50:53	50
145.jpg	A person holding a bunch of black wire	neutral	512	512	1.0	42.5	356	37	2025-05-25 19:50:53	51
146.jpg	A man wearing a leather jacket	neutral	512	512	1.0	40.5	21	52	2025-05-25 19:50:54	52
147.jpg	A man wearing a brown leather jacket	neutral	512	512	1.0	42.4	25	70	2025-05-25 19:50:54	53
148.jpg	The man is wearing a jacket	neutral	512	512	1.0	34.3	15	66	2025-05-25 19:50:55	54
149.jpg	A man wearing a black leather jacket	neutral	512	512	1.0	36.3	18	54	2025-05-25 19:50:55	55
15.jpg	A black and white photo of a woman wearing a veil	neutral	512	512	1.0	39.3	0	0	2025-05-25 19:50:07	56
150.jpg	A woman behind a net	neutral	512	512	1.0	56.8	13	32	2025-05-25 19:50:56	57
151.jpg	A man wearing a brown leather jacket	neutral	512	512	1.0	41.3	23	79	2025-05-25 19:50:56	58
152.jpg	A man standing in front of a bar	neutral	512	512	1.0	33.1	25	61	2025-05-25 19:50:57	59
153.jpg	A man wearing a denim jacket	neutral	512	512	1.0	39.9	25	70	2025-05-25 19:50:57	60
154.jpg	A young man wearing a denim jacket	neutral	512	512	1.0	33.1	30	25	2025-05-25 19:50:57	61
155.jpg	A group of chairs sitting in a bar	neutral	512	512	1.0	33.7	15	33	2025-05-25 19:50:58	62
156.jpg	A person standing next to a bicycle on the street	outdoor, urban, natural	512	512	1.0	46.4	336	4	2025-05-25 19:50:58	63
157.jpg	A man on a bike	neutral	512	512	1.0	49.6	199	13	2025-05-25 19:50:59	64
158.jpg	A man riding a bike down the street	outdoor, urban, natural	512	512	1.0	43.3	180	10	2025-05-25 19:50:59	65
159.jpg	A man riding a bike down a city street	outdoor, urban, natural	512	512	1.0	49.1	105	16	2025-05-25 19:50:59	66
16.jpg	A woman standing in front of a painting	neutral	512	512	1.0	47.7	0	0	2025-05-25 19:50:07	67
160.jpg	A man riding a bike down a city street	outdoor, urban, natural	512	512	1.0	42.5	78	28	2025-05-25 19:51:00	68
161.jpg	A man riding a bike down a city street	outdoor, urban, natural	512	512	1.0	44.8	81	23	2025-05-25 19:51:00	69
162.jpg	A woman with blonde hair	neutral	512	512	1.0	34.6	26	67	2025-05-25 19:51:00	70
163.jpg	A woman standing in front of a mirror	neutral	512	512	1.0	40.2	194	7	2025-05-25 19:51:01	71
