filename	description	artistic_tags	width	height	aspect_ratio	file_size_kb	dominant_hue	dominant_saturation	color_temperature	saturation_level	contrast_level	format_type	complexity	creation_date	processing_order
1.jpg	unknow	color-neutral, saturation-muted, contrast-balanced, format-portrait, complexity-complex, style-subtle	512	773	0.66	44.0	0	0	neutral	muted	balanced	portrait	complex	2025-05-25 20:54:24	1
10.jpg	unknow	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, style-subtle	512	773	0.66	23.3	0	0	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:54:24	2
100.jpg	A man with sat in tv id ed	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	38.0	19	29	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:25	3
101.jpg	unknow	color-warm, saturation-muted, contrast-high-contrast, format-landscape, complexity-complex, mood-cozy, style-subtle	512	341	1.5	32.6	26	10	warm	muted	high-contrast	landscape	complex	2025-05-25 20:54:25	4
102.jpg	unknow	color-neutral, saturation-muted, contrast-high-contrast, format-landscape, complexity-complex, style-subtle	512	341	1.5	32.8	77	11	neutral	muted	high-contrast	landscape	complex	2025-05-25 20:54:26	5
103.jpg	  a man with his hands in his lap, with sand on the floor	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	38.8	41	29	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:26	6
104.jpg	Sand, mud, and rocks	color-neutral, saturation-muted, contrast-balanced, format-portrait, complexity-complex, style-subtle	512	768	0.67	57.8	26	15	neutral	muted	balanced	portrait	complex	2025-05-25 20:54:27	7
105.jpg	 a black and white photograph of parked cars in crowded traffic	color-neutral, saturation-muted, contrast-balanced, format-portrait, complexity-complex, subject-urban, subject-transportation	512	768	0.67	57.8	26	15	neutral	muted	balanced	portrait	complex	2025-05-25 20:54:27	8
106.jpg	 a black and white photograph of sex with blond hair and tan skin. the subject is wearing khaki shorts and blue shirt	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, style-subtle	512	768	0.67	34.4	280	2	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:54:27	9
107.jpg	A man with sat on tv id ed	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	53.5	21	32	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:28	10
108.jpg	A man is sitting in squat position with his hands on his knees	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	37.7	24	38	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:28	11
109.jpg	A man is sitting in squat position with his hands on his knees	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	37.3	20	19	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:29	12
11.jpg	 a tree branch with branches on it, forming twigs ed. ing, the tree branches are arranged in obliquely, and en masse, as if they were entangled in some way	color-neutral, saturation-muted, contrast-balanced, format-portrait, complexity-complex, subject-nature, style-subtle	512	773	0.66	58.3	0	0	neutral	muted	balanced	portrait	complex	2025-05-25 20:54:29	13
110.jpg	The main visual elements and composition of this image are the following: a woman is sitting in sand with pens and twees. ing, he is holding obliquely	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-nostalgic, subject-portrait, style-vintage	512	768	0.67	39.3	19	24	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:30	14
111.jpg	A man with sat in tin ed id	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	41.2	22	20	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:30	15
112.jpg	A woman is sitting in squat position with her legs crossed and her arms resting on her knees	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-fresh, style-subtle	512	768	0.67	40.1	205	53	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:31	16
113.jpg	A man is sitting in sat on tv, he is seated on the pc ipad	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-food	512	768	0.67	37.9	16	40	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:31	17
114.jpg	A train on s train station with i like the train	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-transportation, mood-cozy, style-subtle	512	768	0.67	51.9	42	2	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:31	18
115.jpg	S of of the e c n o m i t y p u r d x l b q w h k f g j z v, th en. ing - if he is able to re – — ; &	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy, style-subtle	512	768	0.67	54.7	25	58	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:32	19
116.jpg	S of the word , e c n t y i m o r p l d u v w x h b q z f g j k if he hat th en. - ing – figurative realism & ambiguity ;':?	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, style-documentary, mood-cozy, style-subtle	512	768	0.67	83.9	221	13	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:32	20
117.jpg	unknow	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-fresh, style-subtle	512	768	0.67	66.7	25	16	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:33	21
118.jpg	unknow	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-fresh, style-subtle	512	768	0.67	62.9	23	16	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:33	22
119.jpg	A man is sitting in squat position with his hands on his knees	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-fresh, style-subtle	512	768	0.67	59.2	216	27	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:34	23
12.jpg	A man is sitting in sat on tv, he is seated in front of i	color-neutral, saturation-muted, contrast-balanced, format-portrait, complexity-complex, subject-portrait, subject-food	512	773	0.66	62.4	0	0	neutral	muted	balanced	portrait	complex	2025-05-25 20:54:34	24
120.jpg	A man is sitting in squat position with his hands on his knees	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, style-subtle	512	768	0.67	55.6	28	14	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:54:34	25
121.jpg	 a white background with splatters and fractals. , and other abstract elements	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, style-artistic, mood-fresh, style-subtle	512	768	0.67	69.3	215	61	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:35	26
122.jpg	The main visual elements and composition of the image are the shape of a circle, the sphere, or the circle. , and the space between them	color-cool, saturation-muted, contrast-high-contrast, format-landscape, complexity-complex, mood-fresh, style-subtle	512	341	1.5	54.6	225	36	cool	muted	high-contrast	landscape	complex	2025-05-25 20:54:35	27
123.jpg	A man is sitting in solitary chair, with his hands on his knees	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, style-subtle	512	768	0.67	62.7	215	58	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:54:35	28
124.jpg	A man is sitting on stools in crowded room	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-interior	512	768	0.67	63.4	30	35	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:54:36	29
